"State","electoralVotesNumber","Pop"
"California","55","39937500"
"Texas","38","29472300"
"New York","29","19440500"
"Florida","29","21993000"
"Pennsylvania","20","12820900"
"Illinois","20","12659700"
"Ohio","18","11747700"
"Michigan","16","10045000"
"Georgia","16","10736100"
"North Carolina","15","10611900"
"New Jersey","14","8936570"
"Virginia","13","8626210"
"Washington","12","7797100"
"Tennessee","11","6897580"
"Massachusetts","11","6976600"
"Indiana","11","6745350"
"Arizona","11","7378490"
"Wisconsin","10","5851750"
"Missouri","10","6169270"
"Minnesota","10","5700670"
"Maryland","10","6083120"
"South Carolina","9","5210100"
"Colorado","9","5845530"
"Alabama","9","4908620"
"Louisiana","8","4645180"
"Kentucky","8","4499690"
"Oregon","7","4301090"
"Oklahoma","7","3954820"
"Connecticut","7","3563080"
"Utah","6","3282120"
"Nevada","6","3139660"
"Mississippi","6","2989260"
"Kansas","6","2910360"
"Iowa","6","3179850"
"Arkansas","6","3039000"
"West Virginia","5","1778070"
"New Mexico","5","2096640"
"Nebraska","5","1952570"
"Rhode Island","4","1056160"
"New Hampshire","4","1371250"
"Maine","4","1345790"
"Idaho","4","1826160"
"Hawaii","4","1412690"
"Wyoming","3","567025"
"Vermont","3","628061"
"South Dakota","3","903027"
"North Dakota","3","761723"
"Montana","3","1086760"
"Delaware","3","982895"
"Alaska","3","734002"